API Name,Memory,vCPUs,On Demand Hourly,Windows On Demand Hourly
c6in.8xlarge,64,32,$1.81 ,$3.29 
c6in.large,4,2,$0.11 ,$0.21 
c6in.metal,256,128,$7.26 ,$13.15 
c6in.xlarge,8,4,$0.23 ,$0.41 
c7g.12xlarge,96,48,$1.74 ,unavailable
c7g.16xlarge,128,64,$2.32 ,unavailable
c7g.2xlarge,16,8,$0.29 ,unavailable
c7g.4xlarge,32,16,$0.58 ,unavailable
c7g.8xlarge,64,32,$1.16 ,unavailable
c7g.large,4,2,$0.07 ,unavailable
c7g.medium,2,1,$0.04 ,unavailable
c7g.metal,128,64,$2.32 ,unavailable
c7g.xlarge,8,4,$0.15 ,unavailable
c7gd.12xlarge,96,48,$2.18 ,unavailable
c7gd.16xlarge,128,64,$2.90 ,unavailable
c7gd.2xlarge,16,8,$0.36 ,unavailable
c7gd.4xlarge,32,16,$0.73 ,unavailable
c7gd.8xlarge,64,32,$1.45 ,unavailable
c7gd.large,4,2,$0.09 ,unavailable
c7gd.medium,2,1,$0.05 ,unavailable
c7gd.xlarge,8,4,$0.18 ,unavailable
c7gn.12xlarge,96,48,$3.00 ,unavailable
c7gn.16xlarge,128,64,$3.99 ,unavailable
c7gn.2xlarge,16,8,$0.50 ,unavailable
c7gn.4xlarge,32,16,$1.00 ,unavailable
c7gn.8xlarge,64,32,$2.00 ,unavailable
c7gn.large,4,2,$0.12 ,unavailable
c7gn.medium,2,1,$0.06 ,unavailable
c7gn.xlarge,8,4,$0.25 ,unavailable
cc2.8xlarge,60.5,32,unavailable,unavailable
cr1.8xlarge,244,32,$3.50 ,$3.83 
d2.2xlarge,61,8,$1.38 ,$1.60 
d2.4xlarge,122,16,$2.76 ,$3.06 
d2.8xlarge,244,36,$5.52 ,$6.20 
d2.xlarge,30.5,4,$0.69 ,$0.82 
d3.2xlarge,64,8,$1.00 ,$1.37 
d3.4xlarge,128,16,$2.00 ,$2.73 
d3.8xlarge,256,32,$4.00 ,$5.47 
d3.xlarge,32,4,$0.50 ,$0.68 
d3en.12xlarge,192,48,$6.31 ,$8.52 
d3en.2xlarge,32,8,$1.05 ,$1.42 
d3en.4xlarge,64,16,$2.10 ,$2.84 
d3en.6xlarge,96,24,$3.15 ,$4.26 
d3en.8xlarge,128,32,$4.21 ,$5.68 
d3en.xlarge,16,4,$0.53 ,$0.71 
dl1.24xlarge,768,96,$13.11 ,unavailable
f1.16xlarge,976,64,$13.20 ,unavailable
f1.2xlarge,122,8,$1.65 ,unavailable
f1.4xlarge,244,16,$3.30 ,unavailable
g2.2xlarge,15,8,$0.65 ,$0.77 
g2.8xlarge,60,32,$2.60 ,$2.88 
g3.16xlarge,488,64,$4.56 ,$7.50 
g3.4xlarge,122,16,$1.14 ,$1.88 
g3.8xlarge,244,32,$2.28 ,$3.75 
g3s.xlarge,30.5,4,$0.75 ,$0.93 
g4ad.16xlarge,256,64,$3.47 ,$6.41 
g4ad.2xlarge,32,8,$0.54 ,$0.91 
g4ad.4xlarge,64,16,$0.87 ,$1.60 
g4ad.8xlarge,128,32,$1.73 ,$3.21 
g4ad.xlarge,16,4,$0.38 ,$0.56 
g4dn.12xlarge,192,48,$3.91 ,$6.12 
g4dn.16xlarge,256,64,$4.35 ,$7.30 
g4dn.2xlarge,32,8,$0.75 ,$1.12 
g4dn.4xlarge,64,16,$1.20 ,$1.94 
g4dn.8xlarge,128,32,$2.18 ,$3.65 
g4dn.metal,384,96,$7.82 ,$12.24 
g4dn.xlarge,16,4,$0.53 ,$0.71 
g5.12xlarge,192,48,$5.67 ,$7.88 
g5.16xlarge,256,64,$4.10 ,$7.04 
g5.24xlarge,384,96,$8.14 ,$12.56 
g5.2xlarge,32,8,$1.21 ,$1.58 
g5.48xlarge,768,192,$16.29 ,$25.12 
g5.4xlarge,64,16,$1.62 ,$2.36 
g5.8xlarge,128,32,$2.45 ,$3.92 
g5.xlarge,16,4,$1.01 ,$1.19 
g5g.16xlarge,128,64,$2.74 ,unavailable
g5g.2xlarge,16,8,$0.56 ,unavailable
g5g.4xlarge,32,16,$0.83 ,unavailable
g5g.8xlarge,64,32,$1.37 ,unavailable
g5g.metal,128,64,$2.74 ,unavailable
g5g.xlarge,8,4,$0.42 ,unavailable
h1.16xlarge,256,64,$3.74 ,$6.69 
h1.2xlarge,32,8,$0.47 ,$0.84 
h1.4xlarge,64,16,$0.94 ,$1.67 
h1.8xlarge,128,32,$1.87 ,$3.34 
hpc7g.16xlarge,128,64,$1.68 ,unavailable
hpc7g.4xlarge,128,16,$1.68 ,unavailable
hpc7g.8xlarge,128,32,$1.68 ,unavailable
hs1.8xlarge,117,16,unavailable,unavailable
i2.2xlarge,61,8,$1.71 ,$1.95 
i2.4xlarge,122,16,$3.41 ,$3.89 
i2.8xlarge,244,32,$6.82 ,$7.78 
i2.large,15,2,unavailable,unavailable
i2.xlarge,30.5,4,$0.85 ,$0.97 
i3.16xlarge,488,64,$4.99 ,$7.94 
i3.2xlarge,61,8,$0.62 ,$0.99 
i3.4xlarge,122,16,$1.25 ,$1.98 
i3.8xlarge,244,32,$2.50 ,$3.97 
i3.large,15.25,2,$0.16 ,$0.25 
i3.metal,512,72,$4.99 ,$7.94 
i3.xlarge,30.5,4,$0.31 ,$0.50 
i3en.12xlarge,384,48,$5.42 ,$7.63 
i3en.24xlarge,768,96,$10.85 ,$15.26 
i3en.2xlarge,64,8,$0.90 ,$1.27 
i3en.3xlarge,96,12,$1.36 ,$1.91 
i3en.6xlarge,192,24,$2.71 ,$3.82 
i3en.large,16,2,$0.23 ,$0.32 
i3en.metal,768,96,$10.85 ,$15.26 
i3en.xlarge,32,4,$0.45 ,$0.64 
i4g.16xlarge,512,64,$4.94 ,unavailable
i4g.2xlarge,64,8,$0.62 ,unavailable
i4g.4xlarge,128,16,$1.24 ,unavailable
i4g.8xlarge,256,32,$2.47 ,unavailable
i4g.large,16,2,$0.15 ,unavailable
i4g.xlarge,32,4,$0.31 ,unavailable
i4i.16xlarge,512,64,$5.49 ,$8.44 
i4i.2xlarge,64,8,$0.69 ,$1.05 
i4i.32xlarge,1024,128,$10.98 ,$16.87 
